Indicator Name,Indicator Code,Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"International tourism, number of arrivals",ST.INT.ARVL,Marshall Islands,MHL,9000,9000,6000,7000,6000,5000,5000,5000,,
"International tourism, number of arrivals",ST.INT.ARVL,Mauritania,MRT,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Mauritius,MUS,719000,761000,788000,907000,930000,871000,935000,965000,,
"International tourism, number of arrivals",ST.INT.ARVL,Mexico,MEX,20618000,21915000,21353000,21606000,22931000,22346000,23290000,23403000,,
"International tourism, number of arrivals",ST.INT.ARVL,"Micronesia, Fed. Sts.",FSM,19000,19000,19000,21000,26000,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Moldova,MDA,24000,23000,13000,13000,7000,7000,8000,11000,,
"International tourism, number of arrivals",ST.INT.ARVL,Monaco,MCO,250000,286000,313000,328000,324000,265000,279000,295000,,
"International tourism, number of arrivals",ST.INT.ARVL,Mongolia,MNG,301000,338000,386000,452000,446000,411000,457000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Montenegro,MNE,188000,272000,378000,984000,1031000,1044000,1088000,1201000,,
"International tourism, number of arrivals",ST.INT.ARVL,Morocco,MAR,5477000,5843000,6558000,7408000,7879000,8341000,9288000,9342000,,
"International tourism, number of arrivals",ST.INT.ARVL,Mozambique,MOZ,470000,578000,664000,771000,1193000,1461000,1718000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Myanmar,MMR,242000,232000,264000,248000,193000,243000,311000,391000,,
"International tourism, number of arrivals",ST.INT.ARVL,Namibia,NAM,716000,778000,833000,929000,931000,980000,984000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Nepal,NPL,385000,375000,384000,527000,500000,510000,603000,736000,,
"International tourism, number of arrivals",ST.INT.ARVL,Netherlands,NLD,9646000,10012000,10739000,11008000,10104000,9921000,10883000,11300000,,
"International tourism, number of arrivals",ST.INT.ARVL,New Caledonia,NCL,100000,101000,100000,103000,104000,99000,99000,112000,,
"International tourism, number of arrivals",ST.INT.ARVL,New Zealand,NZL,2325000,2353000,2390000,2434000,2411000,2422000,2492000,2572000,,
"International tourism, number of arrivals",ST.INT.ARVL,Nicaragua,NIC,615000,712000,749000,800000,858000,932000,1011000,1060000,,
"International tourism, number of arrivals",ST.INT.ARVL,Niger,NER,57000,58000,60000,48000,73000,66000,74000,82000,,
"International tourism, number of arrivals",ST.INT.ARVL,Nigeria,NGA,962000,1010000,1111000,1212000,1313000,1414000,1555000,715000,,
"International tourism, number of arrivals",ST.INT.ARVL,Northern Mariana Islands,MNP,525000,498000,429000,385000,388000,345000,375000,336000,,
"International tourism, number of arrivals",ST.INT.ARVL,Norway,NOR,3628000,3824000,4070000,4377000,4347000,4346000,4767000,4963000,,
"International tourism, number of arrivals",ST.INT.ARVL,Oman,OMN,908000,1114000,1336000,1182000,1378000,1280000,1048000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Pakistan,PAK,648000,798000,898000,840000,823000,855000,907000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Palau,PLW,89000,81000,82000,88000,79000,72000,86000,109000,,
"International tourism, number of arrivals",ST.INT.ARVL,Panama,PAN,621000,702000,843000,1103000,1247000,1200000,1324000,1473000,,
"International tourism, number of arrivals",ST.INT.ARVL,Papua New Guinea,PNG,59000,69000,78000,104000,114000,126000,146000,165000,,
"International tourism, number of arrivals",ST.INT.ARVL,Paraguay,PRY,309000,341000,388000,416000,428000,439000,465000,524000,,
"International tourism, number of arrivals",ST.INT.ARVL,Peru,PER,1350000,1571000,1721000,1916000,2058000,2140000,2299000,2598000,,
"International tourism, number of arrivals",ST.INT.ARVL,Philippines,PHL,2291000,2623000,2843000,3092000,3139000,3017000,3520000,3917000,,
"International tourism, number of arrivals",ST.INT.ARVL,Poland,POL,14290000,15200000,15670000,14975000,12960000,11890000,12470000,13350000,,
"International tourism, number of arrivals",ST.INT.ARVL,Portugal,PRT,5654000,5769000,6349000,6788000,6962000,6439000,6756000,7264000,,
"International tourism, number of arrivals",ST.INT.ARVL,Puerto Rico,PRI,3541000,3686000,3722000,3687000,3716000,3183000,3186000,3048000,,
"International tourism, number of arrivals",ST.INT.ARVL,Qatar,QAT,732000,913000,946000,964000,1405000,1659000,1519000,2527000,,
"International tourism, number of arrivals",ST.INT.ARVL,Romania,ROM,6600000,5839000,6037000,7722000,8862000,7575000,7498000,7611000,,
"International tourism, number of arrivals",ST.INT.ARVL,Russian Federation,RUS,22064000,22201000,22486000,22909000,23676000,21339000,22281000,24932000,,
"International tourism, number of arrivals",ST.INT.ARVL,Rwanda,RWA,,,494000,566000,621000,646000,619000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Samoa,WSM,98000,102000,110000,117000,118000,122000,122000,121000,,
"International tourism, number of arrivals",ST.INT.ARVL,San Marino,SMR,42000,50000,50000,69000,115000,151000,120000,156000,,
"International tourism, number of arrivals",ST.INT.ARVL,Sao Tome and Principe,STP,11000,16000,12000,12000,14000,15000,8000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Saudi Arabia,SAU,8599000,8037000,8620000,11531000,14757000,10897000,10850000,17498000,,
"International tourism, number of arrivals",ST.INT.ARVL,Senegal,SEN,667000,769000,866000,875000,867000,810000,900000,1001000,,
"International tourism, number of arrivals",ST.INT.ARVL,Serbia,SRB,392000,453000,469000,696000,646000,645000,683000,764000,,
"International tourism, number of arrivals",ST.INT.ARVL,Seychelles,SYC,121000,129000,141000,161000,159000,158000,175000,194000,,
"International tourism, number of arrivals",ST.INT.ARVL,Sierra Leone,SLE,44000,40000,34000,32000,36000,37000,39000,52000,,
"International tourism, number of arrivals",ST.INT.ARVL,Singapore,SGP,6553000,7079000,7588000,7957000,7778000,7489000,9161000,10390000,,
"International tourism, number of arrivals",ST.INT.ARVL,Sint Maarten (Dutch part),SXM,475000,468000,468000,469000,475000,440000,443000,424000,,
"International tourism, number of arrivals",ST.INT.ARVL,Slovak Republic,SVK,1401000,1515000,1612000,1685000,1767000,1298000,1327000,1460000,,
"International tourism, number of arrivals",ST.INT.ARVL,Slovenia,SVN,1499000,1555000,1617000,1751000,1958000,1824000,1869000,2037000,,
"International tourism, number of arrivals",ST.INT.ARVL,Solomon Islands,SLB,5600,9000,11000,14000,16000,18000,21000,23000,,
"International tourism, number of arrivals",ST.INT.ARVL,Somalia,SOM,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,South Africa,ZAF,6678000,7369000,8396000,9091000,9592000,7012000,8074000,8339000,,
"International tourism, number of arrivals",ST.INT.ARVL,South Sudan,SSD,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Spain,ESP,52430000,55914000,58004000,58666000,57192000,52178000,52677000,56694000,,
"International tourism, number of arrivals",ST.INT.ARVL,Sri Lanka,LKA,566000,549000,560000,494000,438000,448000,654000,856000,,
"International tourism, number of arrivals",ST.INT.ARVL,St. Kitts and Nevis,KNA,118000,141000,139000,123000,128000,93000,92000,,,
"International tourism, number of arrivals",ST.INT.ARVL,St. Lucia,LCA,298000,318000,303000,287000,296000,278000,306000,312000,,
"International tourism, number of arrivals",ST.INT.ARVL,St. Martin (French part),MAF,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,St. Vincent and the Grenadines,VCT,87000,96000,97000,90000,84000,75000,72000,74000,,
"International tourism, number of arrivals",ST.INT.ARVL,Sudan,SDN,61000,246000,328000,436000,440000,420000,495000,536000,,
"International tourism, number of arrivals",ST.INT.ARVL,Suriname,SUR,138000,161000,154000,167000,151000,151000,205000,220000,,
"International tourism, number of arrivals",ST.INT.ARVL,Swaziland,SWZ,459000,837000,873000,870000,754000,908000,868000,879000,,
"International tourism, number of arrivals",ST.INT.ARVL,Sweden,SWE,4676000,4883000,4729000,5224000,4555000,4678000,4951000,5006000,,
"International tourism, number of arrivals",ST.INT.ARVL,Switzerland,CHE,,7229000,7863000,8448000,8608000,8294000,8628000,8534000,,
"International tourism, number of arrivals",ST.INT.ARVL,Syrian Arab Republic,SYR,3399000,3571000,4231000,4158000,5430000,6092000,8546000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Tajikistan,TJK,,,,,325000,207000,160000,183000,,
"International tourism, number of arrivals",ST.INT.ARVL,Tanzania,TZA,566000,590000,622000,692000,750000,695000,754000,795000,,
"International tourism, number of arrivals",ST.INT.ARVL,Thailand,THA,11737000,11567000,13822000,14464000,14584000,14150000,15936000,19230000,,
"International tourism, number of arrivals",ST.INT.ARVL,Timor-Leste,TMP,,,14000,22000,36000,44000,40000,51000,,
"International tourism, number of arrivals",ST.INT.ARVL,Togo,TGO,83000,81000,94000,86000,74000,150000,202000,300000,,
"International tourism, number of arrivals",ST.INT.ARVL,Tonga,TON,41000,42000,39000,46000,49000,51000,45000,46000,,
"International tourism, number of arrivals",ST.INT.ARVL,Trinidad and Tobago,TTO,443000,463000,461000,449000,437000,419000,386000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Tunisia,TUN,5998000,6378000,6550000,6762000,7050000,6901000,6903000,4785000,,
"International tourism, number of arrivals",ST.INT.ARVL,Turkey,TUR,16826000,20273000,18916000,26122000,29637000,30435000,31396000,34038000,,
"International tourism, number of arrivals",ST.INT.ARVL,Turkmenistan,TKM,15000,12000,6000,8000,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Turks and Caicos Islands,TCA,173000,176000,248000,265000,352000,351000,281000,354000,,
"International tourism, number of arrivals",ST.INT.ARVL,Tuvalu,TUV,1300,1100,1100,1100,1700,1600,1700,1200,,
"International tourism, number of arrivals",ST.INT.ARVL,Uganda,UGA,512000,468000,539000,642000,844000,807000,946000,1151000,,
"International tourism, number of arrivals",ST.INT.ARVL,Ukraine,UKR,15629000,17631000,18936000,23122000,25449000,20798000,21203000,21415000,,
"International tourism, number of arrivals",ST.INT.ARVL,United Arab Emirates,ARE,6195000,7126000,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,United Kingdom,GBR,25678000,28039000,30654000,30870000,30142000,28199000,28295000,29306000,,
"International tourism, number of arrivals",ST.INT.ARVL,United States,USA,46086000,49206000,50977000,55978000,57942000,54962000,59796000,62711000,,
"International tourism, number of arrivals",ST.INT.ARVL,Uruguay,URY,1756000,1808000,1749000,1753000,1938000,2055000,2353000,2857000,,
"International tourism, number of arrivals",ST.INT.ARVL,Uzbekistan,UZB,262000,242000,560000,903000,1069000,1215000,975000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Vanuatu,VUT,61000,62000,68000,81000,91000,99000,97000,94000,,
"International tourism, number of arrivals",ST.INT.ARVL,"Venezuela, RB",VEN,486000,706000,748000,771000,745000,615000,526000,595000,,
"International tourism, number of arrivals",ST.INT.ARVL,Vietnam,VNM,2928000,3477000,3583000,4229000,4236000,3747000,5050000,6014000,,
"International tourism, number of arrivals",ST.INT.ARVL,Virgin Islands (U.S.),VIR,563000,593000,570000,586000,574000,563000,590000,536000,,
"International tourism, number of arrivals",ST.INT.ARVL,West Bank and Gaza,WBG,56000,88000,123000,264000,387000,396000,522000,449000,,
"International tourism, number of arrivals",ST.INT.ARVL,"Yemen, Rep.",YEM,274000,336000,1061000,948000,1023000,1028000,1025000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Zambia,ZMB,515000,669000,757000,897000,812000,710000,815000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Zimbabwe,ZWE,1854000,1559000,2287000,2506000,1956000,2017000,2239000,2423000,,
