Indicator Name,Indicator Code,Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,11411390546.8544,12588665467.813,15056937190.1336,17110610000.1257,21971835255.5528,23820013058.6156,26425379366.6132,28840197018.7628,31243324000,
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,43151647002.6096,57123671733.8952,81003864915.5437,104849915343.555,133441649221.732,115308687201.97,148052371903.631,186428106670.304,200484917175.24,
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,16095321630.6659,18737895400.78,22504136042.2252,27236739895.9373,30465489796.0539,30600160612.4225,32230612377.0348,34329924185.9293,37338072591.6839,
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,102405737.33479,105399007.254677,104236445.783133,123962353.748413,131331152.491193,120291686.164405,141610713.630527,166683857.658587,175709256.57486,
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. Rep.",PRK,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,721975255823.7,844863004335.43,951773478984.908,1049235951186.97,931402204981.625,834060441840.978,1014890141871.14,1114471962886.14,1129598184551.65,
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,KSV,3639935347.50715,3743116980.19185,3915440164.49411,4661067396.81545,5641557748.48184,5449180547.12556,5593654275.07795,6452514047.99538,6237563675.30382,
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,59440511981.7576,80797945205.4795,101561153806.389,114721830985.916,147402413798.235,105911338608.398,119934674734.616,160912705745.772,,
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,2211535311.62834,2459876151.9333,2834168889.42019,3802566170.81543,5139957784.91084,4690029460.84784,4794361821.20611,6197765941.67975,6473175648.1187,
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,2366398119.88556,2735550176.99656,3452895836.27301,4222945529.64181,5443930124.55076,5832882921.50595,7181441151.89789,8226921894.55852,9298926552.44366,
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,13761569544.9926,16041840426.2666,19935046397.2163,28765687041.6504,33669367720.4659,25875781250,24054293524.3661,28417293458.0931,28324131627.0567,
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,21789054726.3682,21860696517.4129,22438474295.1907,25056716417.9104,30079601990.0498,34650746268.6567,37124378109.4527,40094328358.209,42945273631.8408,
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,1234197704.43821,1368405301.24444,1428886922.33954,1597450374.09292,1630630168.9782,1716846757.18123,2203867071.0455,2524537450.34998,2447573299.47777,
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,466999999.999999,541999999.999999,604028581.80619,739026892.226679,850040458.839631,1155146229.786,1292696475.9527,1545412511.9511,1767121780.83002,
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,33384615384.6154,44000000000,56484375000,71803278688.5246,93167701863.354,62360446570.9729,,,,
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,3454374260.73671,3658356377.80983,3988775843.87205,4602346923.40322,4929414914.73469,4826167676.3641,,,,
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,22551543054.4565,25962254180.8029,30088510798.0993,39103973050.6292,47252926428.6698,36846183172.3027,36644563173.848,42890914110.6767,42086555100.5212,
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,34077095478.4477,37643013480.575,42544669010.8776,51320626630.4244,54742739956.7876,50047718738.6694,52507236842.1053,59200833333.3333,57117125224.9936,
GDP (current US$),NY.GDP.MKTP.CD,"Macao SAR, China",MAC,10258324479.1391,11792570015.7933,14568709574.0036,18054684854.2242,20731022857.2408,21313263933.1019,28359706123.0951,36796998498.2098,43582271461.8341,
